matricula,ano,nota,frequencia,status,tipo
123,2019,92,96,Aprovado,TURMA
124,2017,94,100,Aprovado,TURMA
124,2019,0,0,Aprovado,EQUIVALENCIA
125,2022,97,100,Aprovado,TURMA
126,2018,75,100,Aprovado,TURMA
126,2019,0,0,Aprovado,EQUIVALENCIA
127,2018,60,96,Aprovado,TURMA
127,2019,0,0,Aprovado,EQUIVALENCIA
128,2019,60,76,Aprovado,TURMA
129,2015,50,93,Aprovado,TURMA
130,2017,100,100,Aprovado,TURMA
130,2019,0,0,Aprovado,EQUIVALENCIA
131,2022,26,100,R-nota,TURMA
131,2022,0,0,Matriculado,TURMA
132,2015,36,96,R-nota,TURMA
132,2015,80,96,Aprovado,TURMA
133,2021,0,0,R-freq,TURMA
133,2022,0,0,R-freq,TURMA
134,2021,14,100,R-nota,TURMA
134,2021,90,100,Aprovado,TURMA
135,2020,83,87,Aprovado,TURMA
135,2020,32,100,R-nota,TURMA
136,2020,65,100,Aprovado,TURMA
137,2020,0,100,Matriculado,TURMA
138,2019,0,90,R-nota,TURMA
138,2019,15,96,R-nota,TURMA
138,2021,0,0,R-freq,TURMA
139,2017,91,100,Aprovado,TURMA
139,2019,0,0,Aprovado,EQUIVALENCIA
140,2018,70,100,Aprovado,TURMA
140,2019,0,0,Aprovado,EQUIVALENCIA
141,2020,0,0,Aprovado,EQUIVALENCIA
142,2015,73,96,Aprovado,TURMA
143,2018,75,90,Aprovado,TURMA
143,2019,0,0,Aprovado,EQUIVALENCIA
144,2021,73,100,Aprovado,TURMA
145,2017,89,93,Aprovado,TURMA
146,2017,84,93,Aprovado,TURMA
147,2016,51,96,Aprovado,TURMA
148,2020,85,100,Aprovado,TURMA
149,2016,22,83,R-nota,TURMA
149,2016,91,86,Aprovado,TURMA
149,2019,0,0,Aprovado,EQUIVALENCIA
150,2018,70,100,Aprovado,TURMA
150,2019,0,0,Aprovado,EQUIVALENCIA
151,2016,80,96,Aprovado,TURMA
152,2018,88,93,Aprovado,TURMA
152,2019,0,0,Aprovado,EQUIVALENCIA
153,2021,71,100,Aprovado,TURMA
154,2017,100,90,Aprovado,TURMA
155,2018,71,100,Aprovado,TURMA
155,2019,0,0,Aprovado,EQUIVALENCIA
156,2022,70,100,Aprovado,TURMA
157,2021,71,100,Aprovado,TURMA
158,2016,70,93,Aprovado,TURMA
159,2020,70,100,Aprovado,TURMA
160,2022,60,100,Aprovado,TURMA
161,2016,79,86,Aprovado,TURMA
162,2017,26,90,R-nota,TURMA
162,2017,73,93,Aprovado,TURMA
162,2020,0,0,Aprovado,EQUIVALENCIA
163,2019,0,40,R-freq,TURMA
163,2019,0,0,R-freq,TURMA
164,2021,85,100,Aprovado,TURMA
165,2019,91,93,Aprovado,TURMA
166,2016,57,86,Aprovado,TURMA
166,2019,0,0,Aprovado,EQUIVALENCIA
167,2022,85,100,Aprovado,TURMA
168,2019,89,100,Aprovado,TURMA
169,2018,70,93,Aprovado,TURMA
169,2019,0,0,Aprovado,EQUIVALENCIA
170,2018,0,0,Aprovado,EQUIVALENCIA
171,2021,54,90,Aprovado,TURMA
172,2019,80,100,Aprovado,TURMA
173,2022,0,37,R-freq,TURMA
174,2020,98,100,Aprovado,TURMA
175,2021,44,100,R-nota,TURMA
175,2022,0,0,Matriculado,TURMA
176,2019,13,100,R-nota,TURMA
176,2019,54,90,Aprovado,TURMA
177,2015,70,100,Aprovado,TURMA
178,2022,91,100,Aprovado,TURMA
179,2018,51,100,Aprovado,TURMA
179,2019,0,0,Aprovado,EQUIVALENCIA
180,2021,70,100,Aprovado,TURMA
181,2015,87,83,Aprovado,TURMA
182,2020,89,100,Aprovado,TURMA
183,2022,29,97,R-nota,TURMA
183,2022,0,0,Matriculado,TURMA
184,2017,70,100,Aprovado,TURMA
185,2019,16,93,R-nota,TURMA
185,2019,84,96,Aprovado,TURMA
186,2015,60,100,Aprovado,TURMA
187,2018,71,93,Aprovado,TURMA
187,2019,0,0,Aprovado,EQUIVALENCIA
188,2019,50,100,Aprovado,TURMA
189,2013,8,100,R-nota,TURMA
189,2013,94,93,Aprovado,TURMA
190,2018,30,93,R-nota,TURMA
190,2018,71,100,Aprovado,TURMA
190,2019,0,0,Aprovado,EQUIVALENCIA
191,2016,78,100,Aprovado,TURMA
192,2017,0,0,Aprovado,EQUIVALENCIA
192,2019,0,0,Aprovado,EQUIVALENCIA
193,2019,65,100,Aprovado,TURMA
194,2019,83,100,Aprovado,TURMA
195,2020,70,100,Aprovado,TURMA
196,2022,35,100,R-nota,TURMA
196,2022,0,0,Matriculado,TURMA
197,2011,50,96,Aprovado,TURMA
198,2018,0,0,Aprovado,EQUIVALENCIA
199,2016,70,90,Aprovado,TURMA
200,2016,94,100,Aprovado,TURMA
201,2022,73,100,Aprovado,TURMA
202,2021,100,100,Aprovado,TURMA
203,2020,100,94,Aprovado,TURMA
204,2022,83,100,Aprovado,TURMA
205,2020,0,100,R-nota,TURMA
205,2021,77,100,Aprovado,TURMA
206,2021,71,100,Aprovado,TURMA
207,2019,74,96,Aprovado,TURMA
208,2018,3,96,R-nota,TURMA
208,2018,27,100,R-nota,TURMA
208,2019,27,80,R-nota,TURMA
208,2019,33,86,R-nota,TURMA
208,2020,0,0,Cancelado,TURMA
209,2016,55,86,Aprovado,TURMA
210,2022,74,100,Aprovado,TURMA
211,2021,34,75,R-nota,TURMA
211,2021,81,100,Aprovado,TURMA
212,2020,0,100,Matriculado,TURMA
213,2017,40,83,R-nota,TURMA
213,2017,80,100,Aprovado,TURMA
213,2019,0,0,Aprovado,EQUIVALENCIA
214,2019,0,0,Aprovado,EQUIVALENCIA
215,2020,98,100,Aprovado,TURMA
216,2018,27,100,R-nota,TURMA
216,2018,51,90,Aprovado,TURMA
216,2019,0,0,Aprovado,EQUIVALENCIA
217,2022,91,94,Aprovado,TURMA
218,2022,82,97,Aprovado,TURMA
219,2020,85,100,Aprovado,TURMA
220,2021,100,100,Aprovado,TURMA
221,2022,70,100,Aprovado,TURMA
222,2019,78,100,Aprovado,TURMA
223,2019,78,100,Aprovado,TURMA
224,2018,51,100,Aprovado,TURMA
224,2019,0,0,Aprovado,EQUIVALENCIA
225,2017,69,90,Aprovado,TURMA
225,2019,0,0,Aprovado,EQUIVALENCIA
226,2017,27,100,R-nota,TURMA
226,2017,95,96,Aprovado,TURMA
226,2019,0,0,Aprovado,EQUIVALENCIA
227,2020,73,100,Aprovado,TURMA
227,2020,0,100,Cancelado,TURMA
228,2022,61,100,Aprovado,TURMA
229,2019,87,96,Aprovado,TURMA
230,2017,75,100,Aprovado,TURMA
231,2017,87,93,Aprovado,TURMA
232,2021,99,100,Aprovado,TURMA
233,2020,81,100,Aprovado,TURMA
234,2021,5,100,R-nota,TURMA
234,2021,75,100,Aprovado,TURMA
235,2015,75,100,Aprovado,TURMA
236,2021,100,100,Aprovado,TURMA
237,2017,37,100,R-nota,TURMA
237,2017,80,100,Aprovado,TURMA
237,2019,0,0,Aprovado,EQUIVALENCIA
238,2022,80,94,Aprovado,TURMA
239,2018,0,0,Aprovado,EQUIVALENCIA
239,2019,0,0,Aprovado,EQUIVALENCIA
240,2017,91,96,Aprovado,TURMA
240,2019,0,0,Aprovado,EQUIVALENCIA
241,2022,11,100,R-nota,TURMA
241,2022,0,0,Matriculado,TURMA
242,2020,0,0,Aprovado,EQUIVALENCIA
243,2017,27,100,R-nota,TURMA
243,2017,70,93,Aprovado,TURMA
243,2019,0,0,Aprovado,EQUIVALENCIA
244,2017,31,100,R-nota,TURMA
244,2017,80,83,Aprovado,TURMA
245,2019,53,100,Aprovado,TURMA
246,2013,89,100,Aprovado,TURMA
247,2021,5,94,R-nota,TURMA
247,2021,0,100,R-nota,TURMA
248,2016,58,96,Aprovado,TURMA
248,2019,0,0,Aprovado,EQUIVALENCIA
249,2021,0,0,Cancelado,TURMA
249,2021,90,100,Aprovado,TURMA
250,2017,92,83,Aprovado,TURMA
250,2019,0,0,Aprovado,EQUIVALENCIA
251,2021,13,75,R-nota,TURMA
251,2021,93,94,Aprovado,TURMA
252,2020,0,0,Aprovado,EQUIVALENCIA
253,2019,78,96,Aprovado,TURMA
