Consulta 1: Todas as escolas com suas cidades e telefones ;
codigo|nome|cod_municipio|endereco|compl_endereco|bairro|cod_loc_dif|cod_escola|ddd|numero|codigo|nome|uf
11007443|EMEIEF MAFALDA RODRIGUES|1100023|AREA RURAL||AREA RURAL DE ARIQUEMES|0||||1100023|Ariquemes|RO
11007451|EMEFM MAGDALENA TAGLIAFERRO|1100023|RUA UMUARAMA||JARDIM DAS PALMEIRAS|0||||1100023|Ariquemes|RO
11007508|EMEFM MARIO QUINTANA|1100023|RUA PAPOULAS||SETOR 04|0||||1100023|Ariquemes|RO
11007524|EEEFM MIGRANTES|1100023|TRAVESSA GODOFREDO||SETOR 01|0||||1100023|Ariquemes|RO
11007605|EMEIEF PADRE ANGELO SPADARI|1100023|BR 421 LINHA C 75 TB 0 RUA TOPAZIO||VILA EBESA|0||||1100023|Ariquemes|RO
11007656|COLEGIO DINAMICO EDUCACAO BASICA|1100023|ALAMEDA FORTALEZA||SETOR 03|0||||1100023|Ariquemes|RO
11007702|EMEIEF PROF PEDRO LOUBACK|1100023|RUA DOM PEDRO II||MONTE CRISTO|0||||1100023|Ariquemes|RO
11007710|EMEF PROFESSOR VENANCIO KOTTWITZ|1100023|RUA ALBINO SODE||SETOR 11|0||||1100023|Ariquemes|RO
11007737|EMEIEF ROBERTO TURBAY|1100023|RUA MEXICO||SETOR 10|0||||1100023|Ariquemes|RO
11007834|EMEIEF VINICIUS DE MORAES|1100023|LINHA C 65 TB 40||BR 421|0||||1100023|Ariquemes|RO
11007850|EMEF ULISSES GUIMARAES|1100023|BR 421 LC 52|COMUNIDADE SAO GERAL|ZONA RURAL|||||1100023|Ariquemes|RO
11007885|EEEMTI HEITOR VILLA LOBOS|1100023|AVENIDA JUSCELINO KUBITSCHEK||SETOR INSTITUCIONAL|0||||1100023|Ariquemes|RO
11007893|EEEFM RICARDO CANTANHEDE|1100023|RUA SALVADOR|AVENIDA TABAPUA|SETOR 03|0||||1100023|Ariquemes|RO
11007907|E M E I E F PROFª EVA DOS SANTOS DE OLIVEIRA|1100023|RUA ACACIA||SETOR 01|0||||1100023|Ariquemes|RO
11007923|CMEI BALAO MAGICO|1100023|RODOVIA BR-364||MARECHAL RONDON 02|0||||1100023|Ariquemes|RO
11007931|EMEIEF CHAPEUZINHO VERMELHO|1100023|ALAMEDA VITORIA||SETOR 03|0||||1100023|Ariquemes|RO
11007958|EMEIEF PINGO DE GENTE|1100023|RUA CARDEAL||SETOR 02|0||||1100023|Ariquemes|RO
11036753|CMEI MADRE TEREZA DE CALCUTA|1100023|AVENIDA CAPITAO SILVIO||SETOR 02|0||||1100023|Ariquemes|RO
